Base.Word,Level.x,Part.of.Speech.x,plurals.f.lemma
applause,C1,noun,applauses
archaeology,C1,noun,NA
bacteria,C1,noun,bacterias
basis,C1,noun,NA
car,C1,noun,cars
cholesterol,C1,noun,NA
clarification,C1,noun,clarifications
competence,C1,noun,competences
conservation,C1,noun,conservations
consumption,C1,noun,NA
corruption,C1,noun,NA
coverage,C1,noun,coverages
digestion,C1,noun,NA
domination,C1,noun,NA
fumes,C1,noun,NA
funding,C1,noun,NA
globalization,C1,noun,globalizations
housing,C1,noun,NA
humanity,C1,noun,humanities
inability,C1,noun,inabilities
industrialization,C1,noun,industrializations
innocence,C1,noun,NA
integration,C1,noun,integrations
interference,C1,noun,interferences
isolation,C1,noun,isolations
junk,C1,noun,NA
machinery,C1,noun,machineries
mentality,C1,noun,mentalities
mining,C1,noun,NA
moral,C1,noun,NA
networking,C1,noun,NA
obesity,C1,noun,NA
ownership,C1,noun,NA
personnel,C1,noun,NA
planning,C1,noun,NA
premises,C1,noun,NA
preservation,C1,noun,NA
productivity,C1,noun,NA
purity,C1,noun,purities
recruitment,C1,noun,recruitments
relevance,C1,noun,NA
rip-off,C1,noun,rip-offs
rudeness,C1,noun,NA
safety,C1,noun,NA
savings,C1,noun,NA
scope,C1,noun,scopes
self-esteem,C1,noun,NA
sewing,C1,noun,NA
slavery,C1,noun,slaveries
soy,C1,noun,soys
stability,C1,noun,stabilities
suitability,C1,noun,suitabilities
supervision,C1,noun,supervisions
well-being,C1,noun,well-beings
will,C1,noun,wills
astronomy,C2,noun,NA
backing,C2,noun,NA
baggage,C2,noun,NA
bribery,C2,noun,NA
capitalism,C2,noun,NA
clarity,C2,noun,NA
clichã©,C2,noun,clichés
coherence,C2,noun,NA
cry,C2,noun,cries
desperation,C2,noun,NA
discretion,C2,noun,NA
dominance,C2,noun,NA
give-and-take,C2,noun,NA
guts,C2,noun,NA
humanity,C2,noun,humanities
ignorance,C2,noun,NA
impatience,C2,noun,NA
impossibility,C2,noun,impossibilities
indifference,C2,noun,NA
individuality,C2,noun,individualities
infancy,C2,noun,NA
innocence,C2,noun,NA
integrity,C2,noun,NA
interference,C2,noun,interferences
isolation,C2,noun,NA
likelihood,C2,noun,NA
loathing,C2,noun,NA
longevity,C2,noun,NA
means,C2,noun,NA
momentum,C2,noun,NA
negligence,C2,noun,NA
normality,C2,noun,NA
offspring,C2,noun,NA
persistence,C2,noun,NA
quest,C2,noun,quests
reasoning,C2,noun,reasonings
running,C2,noun,NA
schooling,C2,noun,NA
scope,C2,noun,scopes
self-assurance,C2,noun,NA
self-awareness,C2,noun,NA
self-control,C2,noun,NA
self-discipline,C2,noun,NA
self-reliance,C2,noun,NA
self-respect,C2,noun,NA
serenity,C2,noun,NA
severity,C2,noun,NA
sincerity,C2,noun,NA
spending,C2,noun,spendings
spite,C2,noun,NA
stardom,C2,noun,NA
starvation,C2,noun,NA
stupidity,C2,noun,NA
superiority,C2,noun,NA
suspense,C2,noun,NA
sustainability,C2,noun,NA
syllabus,C2,noun,NA
talks,C2,noun,NA
tone,C2,noun,tones
traffic,C2,noun,NA
unrest,C2,noun,NA
validity,C2,noun,NA
violence,C2,noun,NA
welfare,C2,noun,NA
will,C2,noun,wills
xenophobia,C2,noun,NA
cattle,B1,noun,NA
daycare,C1,noun,NA
transportation,C1,noun,NA
internet,A1,noun,NA
driving,A2,noun,NA
jewellery,A2,noun,jewellleries
maths,A2,noun,NA
media,A2,noun,NA
petrol,A2,noun,NA
smartphone,A2,noun,NA
thinking,A2,noun,thinkings
washing,A2,noun,NA
weslome,A2,noun,NA
breathing,B1,noun,NA
heating,B1,noun,NA
printing,B1,noun,printings
racing,B1,noun,NA
row,B1,noun,rows
arms,B2,noun,NA
aids,B2,noun,NA
gaming,B2,noun,NA
healthcare,B2,noun,NA
info,B2,noun,NA
publishing,B2,noun,NA
reporting,B2,noun,reportings
spokeswoman,B2,noun,spokeswomen
testing,B2,noun,NA
trading,B2,noun,NA
voting,B2,noun,NA
warming,B2,noun,NA
accused,C1,noun,NA
activation,C1,noun,NA
bass,C1,noun,basses
beast,C1,noun,beasts
behalf,C1,noun,NA
bulk,C1,noun,NA
consistency,C1,noun,NA
coordination,C1,noun,NA
councilor,C1,noun,councilors
decision-making,C1,noun,NA
detection,C1,noun,NA
documentation,C1,noun,NA
fundraising,C1,noun,NA
handling,C1,noun,handlings
imagery,C1,noun,imageries
lineup,C1,noun,lineups
meantime,C1,noun,NA
midst,C1,noun,NA
morality,C1,noun,moralities
passing,C1,noun,NA
precision,C1,noun,NA
processing,C1,noun,NA
sexuality,C1,noun,sexualities
shipping,C1,noun,shippings
synthesis,C1,noun,NA
warfare,C1,noun,NA
others,A1,noun,NA
mrs,A1,noun,NA
senate,A2,noun,NA
sales,A2,noun,NA
ms,A1,noun,NA
christmas,B1,noun,NA
works,A2,noun,NA
ceo,B1,noun,ceos
criteria,C1,noun,NA
worth,B2,noun,NA
dining,B2,noun,NA
corps,C1,noun,NA
operating,B2,noun,NA
ethics,B2,noun,NA
christian,B1,noun,christians
drinking,A2,noun,NA
t-shirt,B1,noun,t-shirts
olympics,A2,noun,NA
starting,B2,noun,startings
eating,B2,noun,NA
accounting,B2,noun,NA
cocaine,C1,noun,NA
christianity,B1,noun,NA
ok,A2,"adjective, adverb, noun, verb",oks
flying,A2,"adjective, noun",NA
worth,B2,"adjective, noun",NA
