"","plurals.f.lemma","Base.Word","COUNT.Base.Word"
"142","meals","meal",1
"143","meats","meat",1
"144","messages","message",1
"145","milks","milk",1
"146","minutes","minute",1
"150","moms","mom",1
"151","mondays","monday",1
"152","moneys","money",1
"153","months","month",1
"154","mornings","morning",1
"155","mothers","mother",1
"156","mouths","mouth",1
"157","movies","movie",1
"158","museums","museum",1
"160","names","name",1
"161","newspapers","newspaper",1
"162","nights","night",1
"163","noises","noise",1
"165","notes","note",1
"166","numbers","number",1
"167","oranges","orange",1
"168","pages","page",1
"169","paints","paint",1
"170","pairs","pair",1
"175","papers","paper",1
"176","parents","parent",1
"177","parks","park",1
"178","parts","part",1
"179","pens","pen",1
"180","pencils","pencil",1
"181","peoples","people",1
"182","persons","person",1
"183","pets","pet",1
"184","phones","phone",1
"185","photos","photo",1
"186","picnics","picnic",1
"187","pictures","picture",1
"188","pigs","pig",1
"189","pizzas","pizza",1
"194","players","player",1
"195","problems","problem",1
"196","quarters","quarter",1
"197","questions","question",1
"198","radios","radio",1
"199","rains","rain",1
"200","readings","reading",1
"201","refrigerators","refrigerator",1
"202","restaurants","restaurant",1
"204","rivers","river",1
"205","roads","road",1
"206","rooms","room",1
"207","salts","salt",1
"208","saturdays","saturday",1
"209","schools","school",1
"210","sentences","sentence",1
"211","shirts","shirt",1
"213","showers","shower",1
"214","sisters","sister",1
"215","skirts","skirt",1
"216","snows","snow",1
"218","soups","soup",1
"219","sports","sport",1
"220","stations","station",1
"223","streets","street",1
"224","students","student",1
"225","subjects","subject",1
"226","subways","subway",1
"227","sugars","sugar",1
"228","summers","summer",1
"229","suns","sun",1
"230","sundays","sunday",1
"231","supermarkets","supermarket",1
"233","taxis","taxi",1
"234","teas","tea",1
"235","teachers","teacher",1
"236","televisions","television",1
"237","tennis","tennis",1
"238","tests","test",1
"239","things","thing",1
"240","thursdays","thursday",1
"241","tickets","ticket",1
"242","times","time",1
"243","todays","today",1
"244","toilets","toilet",1
"245","tomorrows","tomorrow",1
"246","towns","town",1
"247","trains","train",1
"248","trees","tree",1
"249","tuesdays","tuesday",1
"250","tvs","tv",1
"251","vacations","vacation",1
"252","vegetables","vegetable",1
"253","villages","village",1
"254","waiters","waiter",1
"256","walls","wall",1
"257","waters","water",1
"258","weathers","weather",1
"259","wednesdays","wednesday",1
"260","weeks","week",1
"261","weekends","weekend",1
"262","winds","wind",1
"263","windows","window",1
"266","words","word",1
"267","works","work",1
"268","worlds","world",1
"269","writings","writing",1
"270","years","year",1
"271","zoos","zoo",1
"272","accidents","accident",1
"273","actors","actor",1
"274","adjectives","adjective",1
"275","adventures","adventure",1
"276","adverbs","adverb",1
"277","advertisements","advertisement",1
"278","airs","air",1
"279","airplanes","airplane",1
"280","airports","airport",1
"281","albums","album",1
"282","alcohols","alcohol",1
"283","apartments","apartment",1
"284","appointments","appointment",1
"285","areas","area",1
"286","armchairs","armchair",1
"287","arts","art",1
"289","aunts","aunt",1
"290","backs","back",1
"291","backpacks","backpack",1
"292","balloons","balloon",1
"293","bandages","bandage",1
"295","barbecues","barbecue",1
"296","bears","bear",1
"297","beginners","beginner",1
"298","beginnings","beginning",1
"300","bicycles","bicycle",1
"301","bills","bill",1
"302","births","birth",1
"303","blacks","black",1
"304","blackboards","blackboard",1
"305","blankets","blanket",1
"306","blocks","block",1
"307","bloods","blood",1
"308","blues","blue",1
"311","bowls","bowl",1
"312","boyfriends","boyfriend",1
"313","bracelets","bracelet",1
"314","brains","brain",1
"315","breaks","break",1
"316","bridges","bridge",1
"317","browns","brown",1
"318","buildings","building",1
"319","burgers","burger",1
"320","cabinets","cabinet",1
"321","cafeterias","cafeteria",1
"322","calendars","calendar",1
"323","calls","call",1
"326","capitals","capital",1
"327","cards","card",1
"328","carpets","carpet",1
"329","carrots","carrot",1
"330","cartoons","cartoon",1
"332","castles","castle",1
"333","cathedrals","cathedral",1
"334","ceilings","ceiling",1
"335","cents","cent",1
"336","centers","center",1
"337","centimeters","centimeter",1
"338","cereals","cereal",1
"339","chains","chain",1
"340","champagnes","champagne",1
"341","changes","change",1
"342","channels","channel",1
"343","chats","chat",1
"344","checks","check",1
"345","chefs","chef",1
"348","chickens","chicken",1
"349","cigarettes","cigarette",1
"350","circles","circle",1
"351","classmates","classmate",1
"352","cleaners","cleaner",1
"353","clicks","click",1
"354","closets","closet",1
"355","clouds","cloud",1
"356","clowns","clown",1
"357","clubs","club",1
"358","colas","cola",1
"359","colds","cold",1
"360","colleagues","colleague",1
"361","colleges","college",1
"362","combs","comb",1
"364","competitions","competition",1
"365","concerts","concert",1
"366","contacts","contact",1
"367","cooks","cook",1
"368","cookies","cookie",1
"369","corners","corner",1
"370","costs","cost",1
"371","cousins","cousin",1
"372","creams","cream",1
"373","crickets","cricket",1
"374","crowds","crowd",1
"375","curtains","curtain",1
"376","customers","customer",1
"377","dancers","dancer",1
"378","dangers","danger",1
"379","decks","deck",1
"380","degrees","degree",1
"381","delays","delay",1
"383","departments","department",1
"384","deserts","desert",1
"385","desserts","dessert",1
"386","differences","difference",1
"387","dinosaurs","dinosaur",1
"388","diplomas","diploma",1
"389","directions","directions",1
"390","discos","disco",1
"391","discounts","discount",1
"392","documents","document",1
"393","drawers","drawer",1
"394","drawings","drawing",1
"395","dreams","dream",1
"396","dressers","dresser",1
"397","drivers","driver",1
"398","drums","drum",1
"399","ducks","duck",1
"400","earrings","earring",1
"401","elephants","elephant",1
"402","elevators","elevator",1
"403","engines","engine",1
"404","engineers","engineer",1
"405","entrances","entrance",1
"406","envelopes","envelope",1
"407","euros","euro",1
"408","exams","exam",1
"409","examinations","examination",1
"410","exercises","exercise",1
"411","exits","exit",1
"412","facts","fact",1
"413","falls","fall",1
"414","fans","fan",1
"415","farmers","farmer",1
"416","fashions","fashion",1
"417","fields","field",1
"418","files","file",1
"419","fingers","finger",1
"420","fires","fire",1
"421","flights","flight",1
"422","fogs","fog",1
"423","folders","folder",1
"424","forests","forest",1
"425","forks","fork",1
"426","forms","form",1
"428","garlics","garlic",1
"439","gates","gate",1
"440","gifts","gift",1
"441","girlfriends","girlfriend",1
"443","goals","goal",1
"445","graduates","graduate",1
"446","grams","gram",1
"447","grammars","grammar",1
"448","granddads","granddad",1
"449","granddaughters","granddaughter",1
"450","grandfathers","grandfather",1
"451","grandmas","grandma",1
"452","grandmothers","grandmother",1
"453","grandpas","grandpa",1
"454","grandparents","grandparent",1
"455","grandsons","grandson",1
"457","grays","gray",1
"458","greens","green",1
"459","guests","guest",1
"460","guides","guide",1
"461","guidebooks","guidebook",1
"462","guys","guy",1
"463","gyms","gym",1
"464","halfs","half",1
"465","halls","hall",1
"467","headaches","headache",1
"468","hearts","heart",1
"469","heats","heat",1
"470","helicopters","helicopter",1
"471","helps","help",1
"472","highways","highway",1
"473","hills","hill",1
"475","ids","id",1
"476","ideas","idea",1
"477","identifications","identification",1
"478","insects","insect",1
"479","instruments","instrument",1
"480","invitations","invitation",1
"481","islands","island",1
"482","its","it",1
"483","jams","jam",1
"484","keyboards","keyboard",1
"485","kicks","kick",1
"486","kids","kid",1
"487","kilos","kilo",1
"488","kilograms","kilogram",1
"489","kilometers","kilometer",1
"490","kings","king",1
"493","kites","kite",1
"494","lakes","lake",1
"495","lamps","lamp",1
"496","laptops","laptop",1
"497","leathers","leather",1
"498","lefts","left",1
"499","lemons","lemon",1
"500","lemonades","lemonade",1
"501","levels","level",1
"503","lifts","lift",1
"504","lights","light",1
"505","lines","line",1
"506","lions","lion",1
"507","lists","list",1
"508","liters","liter",1
"509","luggages","luggage",1
"510","lunchtimes","lunchtime",1
"511","machines","machine",1
"512","magazines","magazine",1
"513","mails","mail",1
"514","managers","manager",1
"515","maps","map",1
"516","marks","mark",1
"517","markets","market",1
"518","maths","math",1
"519","mechanics","mechanic",1
"520","medicines","medicine",1
"521","meetings","meeting",1
"522","melons","melon",1
"523","members","member",1
"524","menus","menu",1
"525","meters","meter",1
"526","mirrors","mirror",1
"527","mistakes","mistake",1
"528","models","model",1
"529","moments","moment",1
"530","monkeys","monkey",1
"531","mosques","mosque",1
"532","motorcycles","motorcycle",1
"533","mountains","mountain",1
"534","mugs","mug",1
"535","mushrooms","mushroom",1
"536","natures","nature",1
"537","necks","neck",1
"538","necklaces","necklace",1
"539","neighbors","neighbor",1
"542","noons","noon",1
"543","notebooks","notebook",1
"545","nouns","noun",1
"546","nurses","nurse",1
"547","occupations","occupation",1
"548","oceans","ocean",1
"549","offers","offer",1
"550","offices","office",1
"551","oils","oil",1
"552","omelets","omelet",1
"553","onions","onion",1
"554","operas","opera",1
"555","orders","order",1
"556","pains","pain",1
"557","painters","painter",1
"558","paintings","painting",1
"559","pajamas","pajamas",1
"560","partners","partner",1
"561","passengers","passenger",1
"562","passports","passport",1
"564","paths","path",1
"565","pears","pear",1
"566","peppers","pepper",1
"567","perfumes","perfume",1
"568","photographs","photograph",1
"569","photographers","photographer",1
"570","physics","physics",1
"571","pianos","piano",1
"573","pillows","pillow",1
"574","pilots","pilot",1
"575","pinks","pink",1
"577","plastics","plastic",1
"578","platforms","platform",1
"579","plays","play",1
"580","playgrounds","playground",1
"581","plurals","plural",1
"582","pockets","pocket",1
"584","pools","pool",1
"586","postcards","postcard",1
"587","posters","poster",1
"588","practices","practice",1
"589","presents","present",1
"590","presidents","president",1
"592","principals","principal",1
"593","printers","printer",1
"594","prizes","prize",1
"595","programs","program",1
"596","projects","project",1
"597","purples","purple",1
"599","puzzles","puzzle",1
"601","rabbits","rabbit",1
"602","races","race",1
"603","rackets","racket",1
"604","railroads","railroad",1
"605","raincoats","raincoat",1
"608","reasons","reason",1
"609","receipts","receipt",1
"610","receptionists","receptionist",1
"611","reds","red",1
"612","rents","rent",1
"613","rests","rest",1
"614","restrooms","restroom",1
"615","rights","right",1
"616","rings","ring",1
"617","rocks","rock",1
"618","roofs","roof",1
"619","roommates","roommate",1
"620","rulers","ruler",1
"621","runners","runner",1
"622","sailings","sailing",1
"623","salads","salad",1
"624","salespersons","salesperson",1
"625","sauces","sauce",1
"626","sausages","sausage",1
"627","schedules","schedule",1
"628","sciences","science",1
"629","scissors","scissors",1
"630","scooters","scooter",1
"631","screens","screen",1
"632","seas","sea",1
"633","seats","seat",1
"634","seconds","second",1
"635","semesters","semester",1
"636","sets","set",1
"637","shampoos","shampoo",1
"638","ships","ship",1
"639","shops","shop",1
"640","shorts","shorts",1
"641","shows","show",1
"643","signs","sign",1
"644","singers","singer",1
"645","singulars","singular",1
"646","sinks","sink",1
"647","sites","site",1
"648","sizes","size",1
"649","skates","skate",1
"650","skateboards","skateboard",1
"651","skiings","skiing",1
"652","slices","slice",1
"653","snacks","snack",1
"654","snakes","snake",1
"655","sneakers","sneaker",1
"656","soaps","soap",1
"657","soccers","soccer",1
"658","socks","sock",1
"659","sofas","sofa",1
"660","softwares","software",1
"661","songs","song",1
"662","sorts","sort",1
"663","souls","soul",1
"664","sounds","sound",1
"665","spaces","space",1
"666","speakers","speaker",1
"667","spellings","spelling",1
"668","spoons","spoon",1
"669","springs","spring",1
"670","squares","square",1
"671","stadiums","stadium",1
"672","staffs","staff",1
"673","stages","stage",1
"674","stairs","stairs",1
"675","stamps","stamp",1
"677","steaks","steak",1
"678","stomachs","stomach",1
"679","stomachaches","stomachache",1
"683","suitcases","suitcase",1
"684","sunglasses","sunglasses",1
"685","superlatives","superlative",1
"687","surprises","surprise",1
"688","sweaters","sweater",1
"690","swims","swim",1
"691","swimsuits","swimsuit",1
"692","teams","team",1
"693","teenagers","teenager",1
"694","telephones","telephone",1
"695","temperatures","temperature",1
"696","texts","text",1
"697","textbooks","textbook",1
"698","theaters","theater",1
"699","thunderstorms","thunderstorm",1
"700","ties","tie",1
"701","tights","tights",1
"702","tires","tire",1
"704","toes","toe",1
"705","toothaches","toothache",1
"706","tops","top",1
"707","tours","tour",1
"708","tourists","tourist",1
"709","towels","towel",1
"710","toys","toy",1
"711","trams","tram",1
"713","types","type",1
"714","umbrellas","umbrella",1
"715","uncles","uncle",1
"716","uniforms","uniform",1
"717","uses","use",1
"718","verbs","verb",1
"719","videos","video",1
"720","views","view",1
"721","violins","violin",1
"722","visitors","visitor",1
"723","volleyballs","volleyball",1
"724","walks","walk",1
"725","wallets","wallet",1
"727","ways","way",1
"728","weekdays","weekday",1
"729","wheels","wheel",1
"730","whites","white",1
"732","woods","wood",1
"734","wools","wool",1
"735","workbooks","workbook",1
"736","workers","worker",1
"737","yards","yard",1
"738","yellows","yellow",1
"739","yogurts","yogurt",1
"740","accents","accent",1
"742","accounts","account",1
"743","accountants","accountant",1
"744","aches","ache",1
"745","achievements","achievement",1
"747","actions","action",1
"748","admissions","admission",1
"749","advantages","advantage",1
"759","aims","aim",1
"760","airlines","airline",1
"761","alarms","alarm",1
"762","alphabets","alphabet",1
"763","ambitions","ambition",1
"764","ambulances","ambulance",1
"765","amounts","amount",1
"766","angels","angel",1
"767","animations","animation",1
"768","ankles","ankle",1
"769","announcements","announcement",1
"770","ants","ant",1
"771","antiques","antique",1
"772","appearances","appearance",1
"773","applications","application",1
"774","architects","architect",1
"775","architectures","architecture",1
"776","arguments","argument",1
"777","arrangements","arrangement",1
"778","arrivals","arrival",1
"779","articles","article",1
"780","aspirins","aspirin",1
"781","assignments","assignment",1
"782","assistants","assistant",1
"783","athletes","athlete",1
"784","atmospheres","atmosphere",1
"785","attacks","attack",1
"786","attentions","attention",1
"787","attitudes","attitude",1
"788","attractions","attraction",1
"789","audiences","audience",1
"790","authors","author",1
"791","averages","average",1
"792","babysitters","babysitter",1
"793","backaches","backache",1
"794","backgrounds","background",1
"795","backpackers","backpacker",1
"796","backyards","backyard",1
"797","bacons","bacon",1
"798","bakers","baker",1
"799","barbers","barber",1
"800","barbershops","barbershop",1
"801","bargains","bargain",1
"802","baskets","basket",1
"803","bathtubs","bathtub",1
"804","battles","battle",1
"805","bays","bay",1
"806","bees","bee",1
"807","beefs","beef",1
"808","behaviors","behavior",1
"810","benefits","benefit",1
"812","blogs","blog",1
"813","bloggers","blogger",1
"816","borders","border",1
"817","brakes","brake",1
"818","breasts","breast",1
"820","breezes","breeze",1
"822","broccolis","broccoli",1
"823","brochures","brochure",1
"824","buckets","bucket",1
"825","bugs","bug",1
"826","builders","builder",1
"827","bulbs","bulb",1
"828","bulls","bull",1
"829","butchers","butcher",1
"830","buttons","button",1
"831","buyers","buyer",1
"832","cabs","cab",1
"833","cabbages","cabbage",1
"836","cages","cage",1
"837","calculators","calculator",1
"838","camels","camel",1
"839","camps","camp",1
"840","campsites","campsite",1
"841","canals","canal",1
"842","cancers","cancer",1
"843","candles","candle",1
"844","captains","captain",1
"846","careers","career",1
"847","caves","cave",1
"848","celebrations","celebration",1
"849","certificates","certificate",1
"850","challenges","challenge",1
"851","champions","champion",1
"852","championships","championship",1
"853","chances","chance",1
"854","chapters","chapter",1
"855","characters","character",1
"857","checkouts","checkout",1
"858","cheeks","cheek",1
"859","chemists","chemist",1
"860","childhoods","childhood",1
"863","choices","choice",1
"864","cinemas","cinema",1
"866","cliffs","cliff",1
"867","climates","climate",1
"868","clinics","clinic",1
"869","coasts","coast",1
"870","coconuts","coconut",1
"872","coins","coin",1
"873","collars","collar",1
"874","collections","collection",1
"876","comments","comment",1
"877","commercials","commercial",1
"878","communications","communication",1
"879","competitors","competitor",1
"880","complaints","complaint",1
"881","compositions","composition",1
"882","conclusions","conclusion",1
"883","conditions","condition",1
"884","conferences","conference",1
"885","connections","connection",1
"886","consonants","consonant",1
"887","contents","contents",1
"888","contests","contest",1
"889","continents","continent",1
"890","contracts","contract",1
"891","corns","corn",1
"892","corrections","correction",1
"893","cottages","cottage",1
"894","cottons","cotton",1
"895","coughs","cough",1
"896","couples","couple",1
"897","courts","court",1
"898","covers","cover",1
"899","creatures","creature",1
"900","credits","credit",1
"901","crews","crew",1
"902","crimes","crime",1
"903","criminals","criminal",1
"904","crops","crop",1
"905","crossings","crossing",1
"906","cruises","cruise",1
"907","cucumbers","cucumber",1
"908","cultures","culture",1
"909","cupboards","cupboard",1
"910","curriculums","curriculum",1
"911","cushions","cushion",1
"912","customs","custom",1
"914","cuts","cut",1
"915","cyclists","cyclist",1
"916","damages","damage",1
"917","deaths","death",1
"918","decisions","decision",1
"919","decreases","decrease",1
"920","defeats","defeat",1
"921","defenses","defense",1
"922","demands","demand",1
"923","departures","departure",1
"924","deposits","deposit",1
"925","depths","depth",1
"926","descriptions","description",1
"927","designs","design",1
"928","designers","designer",1
"929","destinations","destination",1
"930","details","detail",1
"931","detectives","detective",1
"932","developments","development",1
"933","diagrams","diagram",1
"934","diets","diet",1
"935","directions","direction",1
"936","directors","director",1
"937","disadvantages","disadvantage",1
"938","disappointments","disappointment",1
"939","discussions","discussion",1
"940","diseases","disease",1
"941","dishwashers","dishwasher",1
"942","disks","disk",1
"943","displays","display",1
"944","distances","distance",1
"945","districts","district",1
"946","divers","diver",1
"948","dolphins","dolphin",1
"949","donkeys","donkey",1
"951","doubts","doubt",1
"952","downloads","download",1
"953","dozens","dozen",1
"954","dramas","drama",1
"955","drives","drive",1
"956","drops","drop",1
"957","drugstores","drugstore",1
"958","dusts","dust",1
"959","earaches","earache",1
"960","earths","earth",1
"961","economics","economics",1
"962","edges","edge",1
"963","educations","education",1
"964","effects","effect",1
"965","efforts","effort",1
"966","elbows","elbow",1
"967","elections","election",1
"968","employees","employee",1
"969","employers","employer",1
"970","employments","employment",1
"971","endings","ending",1
"972","entertainments","entertainment",1
"973","equipments","equipment",1
"974","essays","essay",1
"975","events","event",1
"976","exchanges","exchange",1
"977","excitements","excitement",1
"978","excuses","excuse",1
"979","exhibitions","exhibition",1
"980","expeditions","expedition",1
"982","experiments","experiment",1
"983","experts","expert",1
"984","explanations","explanation",1
"985","extras","extra",1
"986","fairs","fair",1
"988","faucets","faucet",1
"989","favors","favor",1
"991","fears","fear",1
"992","fees","fee",1
"993","feelings","feeling",1
"994","festivals","festival",1
"995","fevers","fever",1
"996","fictions","fiction",1
"998","fights","fight",1
"999","figures","figure",1
"1000","films","film",1
"1002","fines","fine",1
"1003","firefighters","firefighter",1
"1004","fireworks","firework",1
"1005","fitness","fitness",1
"1006","flags","flag",1
"1007","flavors","flavor",1
"1008","floods","flood",1
"1009","flours","flour",1
"1010","flutes","flute",1
"1011","folks","folk",1
"1012","fools","fool",1
"1013","forecasts","forecast",1
"1014","foreheads","forehead",1
"1015","foreigners","foreigner",1
"1016","fountains","fountain",1
"1017","frames","frame",1
"1018","freezers","freezer",1
"1019","fridges","fridge",1
"1020","friendships","friendship",1
"1021","frogs","frog",1
"1022","fuels","fuel",1
"1023","furs","fur",1
"1024","futures","future",1
"1025","garbages","garbage",1
"1026","generations","generation",1
"1027","ghosts","ghost",1
"1028","giraffes","giraffe",1
"1029","goalkeepers","goalkeeper",1
"1030","goats","goat",1
"1031","governments","government",1
"1032","graduations","graduation",1
"1033","graphics","graphics",1
"1034","greetings","greeting",1
"1036","groceries","groceries",1
"1037","grooms","groom",1
"1038","guards","guard",1
"1041","guitarists","guitarist",1
"1042","guns","gun",1
"1043","gymnastics","gymnastics",1
"1044","habits","habit",1
"1045","haircuts","haircut",1
"1046","hairdressers","hairdresser",1
"1047","hairstylists","hairstylist",1
"1048","handkerchiefs","handkerchief",1
"1049","happiness","happiness",1
"1050","harbors","harbor",1
"1051","headlines","headline",1
"1052","heaters","heater",1
"1053","heels","heel",1
"1054","heights","height",1
"1055","herbs","herb",1
"1056","hits","hit",1
"1057","holes","hole",1
"1058","honeymoons","honeymoon",1
"1059","hopes","hope",1
"1060","hostels","hostel",1
"1061","hugs","hug",1
"1062","humans","human",1
"1063","hungers","hunger",1
"1064","huts","hut",1
"1066","imaginations","imagination",1
"1067","immigrations","immigration",1
"1068","improvements","improvement",1
"1069","infinitives","infinitive",1
"1070","ingredients","ingredient",1
"1071","initials","initial",1
"1072","inks","ink",1
"1073","instructors","instructor",1
"1074","interests","interest",1
"1075","intermissions","intermission",1
"1076","interviews","interview",1
"1077","inventions","invention",1
"1078","irons","iron",1
"1079","ironings","ironing",1
"1080","issues","issue",1
"1081","items","item",1
"1082","jails","jail",1
"1083","jars","jar",1
"1084","jets","jet",1
"1085","jokes","joke",1
"1086","journalists","journalist",1
"1087","judges","judge",1
"1088","jumps","jump",1
"1089","jungles","jungle",1
"1090","kangaroos","kangaroo",1
"1091","keepers","keeper",1
"1092","kettles","kettle",1
"1093","killers","killer",1
"1094","killings","killing",1
"1096","kittens","kitten",1
"1097","knees","knee",1
"1098","knowledges","knowledge",1
"1099","labs","lab",1
"1100","labels","label",1
"1101","ladders","ladder",1
"1102","lambs","lamb",1
"1103","lands","land",1
"1104","landscapes","landscape",1
"1105","laughs","laugh",1
"1106","laws","law",1
"1107","lawyers","lawyer",1
"1108","leaders","leader",1
"1109","leagues","league",1
"1110","lectures","lecture",1
"1111","lengths","length",1
"1112","lettuces","lettuce",1
"1113","lies","lie",1
"1114","lighters","lighter",1
"1115","lightnings","lightning",1
"1117","links","link",1
"1118","lips","lip",1
"1119","liquids","liquid",1
"1120","literatures","literature",1
"1121","loans","loan",1
"1122","locations","location",1
"1123","locks","lock",1
"1124","logos","logo",1
"1125","looks","look",1
"1126","loves","love",1
"1127","lovers","lover",1
"1129","malls","mall",1
"1130","marriages","marriage",1
"1131","materials","material",1
"1132","maximums","maximum",1
"1133","meanings","meaning",1
"1134","memberships","membership",1
"1136","metals","metal",1
"1137","methods","method",1
"1138","miles","mile",1
"1139","millimeters","millimeter",1
"1140","minds","mind",1
"1141","minimums","minimum",1
"1142","monsters","monster",1
"1143","monuments","monument",1
"1144","moods","mood",1
"1146","murders","murder",1
"1147","murderers","murderer",1
"1148","musicians","musician",1
"1149","mustaches","mustache",1
"1150","neighborhoods","neighborhood",1
"1151","nephews","nephew",1
"1152","nets","net",1
"1153","nicknames","nickname",1
"1154","nieces","niece",1
"1155","nightclubs","nightclub",1
"1156","nightmares","nightmare",1
"1157","novels","novel",1
"1158","objects","object",1
"1159","occasions","occasion",1
"1160","offenses","offense",1
"1161","officers","officer",1
"1162","olives","olive",1
"1163","operations","operation",1
"1164","opinions","opinion",1
"1165","opposites","opposite",1
"1166","options","option",1
"1167","orchestras","orchestra",1
"1168","organizations","organization",1
"1169","ovens","oven",1
"1170","owners","owner",1
"1171","palaces","palace",1
"1173","paragraphs","paragraph",1
"1174","parrots","parrot",1
"1177","passwords","password",1
"1178","patients","patient",1
"1179","patterns","pattern",1
"1180","pays","pay",1
"1181","peas","pea",1
"1182","peaks","peak",1
"1183","peanuts","peanut",1
"1184","pedestrians","pedestrian",1
"1185","penguins","penguin",1
"1186","performances","performance",1
"1187","performers","performer",1
"1188","periods","period",1
"1189","permissions","permission",1
"1190","phrases","phrase",1
"1191","pies","pie",1
"1192","piles","pile",1
"1193","pills","pill",1
"1195","pineapples","pineapple",1
"1196","pipes","pipe",1
"1198","planets","planet",1
"1199","pleasures","pleasure",1
"1200","plugs","plug",1
"1201","poems","poem",1
"1202","poets","poet",1
"1204","politicians","politician",1
"1207","pollutions","pollution",1
"1208","popcorns","popcorn",1
"1209","populations","population",1
"1210","porks","pork",1
"1211","ports","port",1
"1212","positions","position",1
"1213","pots","pot",1
"1214","powders","powder",1
"1215","powers","power",1
"1216","prayers","prayer",1
"1217","preparations","preparation",1
"1218","prepositions","preposition",1
"1219","prescriptions","prescription",1
"1220","presentations","presentation",1
"1222","princes","prince",1
"1224","prisons","prison",1
"1225","prisoners","prisoner",1
"1226","products","product",1
"1227","professions","profession",1
"1228","professors","professor",1
"1230","promises","promise",1
"1231","pronouns","pronoun",1
"1232","pronunciations","pronunciation",1
"1233","pullovers","pullover",1
"1234","pumps","pump",1
"1236","purposes","purpose",1
"1237","questionnaires","questionnaire",1
"1238","rails","rail",1
"1239","ranges","range",1
"1240","readers","reader",1
"1241","recipes","recipe",1
"1242","records","record",1
"1243","recordings","recording",1
"1244","recyclings","recycling",1
"1245","refreshments","refreshments",1
"1246","refunds","refund",1
"1247","regions","region",1
"1248","registrations","registration",1
"1249","relations","relation",1
"1250","relationships","relationship",1
"1251","relatives","relative",1
"1252","relaxations","relaxation",1
"1253","religions","religion",1
"1254","repairs","repair",1
"1255","reports","report",1
"1256","reporters","reporter",1
"1257","requests","request",1
"1258","rescues","rescue",1
"1259","reservations","reservation",1
"1260","resorts","resort",1
"1261","respects","respect",1
"1262","results","result",1
"1263","returns","return",1
"1265","rewards","reward",1
"1267","riders","rider",1
"1268","robots","robot",1
"1269","roles","role",1
"1270","rolls","roll",1
"1271","romances","romance",1
"1272","roses","rose",1
"1273","routes","route",1
"1274","routines","routine",1
"1275","rows","row",1
"1276","rugs","rug",1
"1277","ruins","ruin",1
"1278","rules","rule",1
"1280","sailors","sailor",1
"1282","salons","salon",1
"1283","sands","sand",1
"1284","sandals","sandal",1
"1285","saucers","saucer",1
"1286","scenes","scene",1
"1287","scientists","scientist",1
"1288","scores","score",1
"1289","screams","scream",1
"1290","sculptures","sculpture",1
"1291","seasons","season",1
"1293","sections","section",1
"1294","sellers","seller",1
"1295","senses","sense",1
"1298","servers","server",1
